sku,alternate_sku,season,year,product_group,category,long_description,closure,product_name,outsole,product_type,product_sub_type,colour,material,short_description,features,short_description_2,uom,rrp,ecom_description,ecom_features,description_match,image_status,web_enrichment_status,confidence,sku_search_variants,search_terms,web_search_status,web_match_url,web_match_title,web_match_confidence,image_1_url,image_2_url,image_3_url,image_4_url,image_5_url,image_6_url,image_source,image_confidence,review_status
312039901-1,,20Q3,2020,TODDLER,SHOES,BASKETBALL SHOES,BOXING,,OTHER,BOXING,,BLACK/RED,MESH/SYNTHETIC LEATHER,BASKETBALL SHOES,,,PRS,899,,,,PENDING,PENDING,MASTER_ONLY,312039901-1 | 3120399011,312039901-1 | BLACK/RED | SHOES | BOXING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312039902-1,,20Q3,2020,TODDLER,SHOES,BASKETBALL SHOES,BOXING,SPORTS,OTHER,BOXING,,BLACK/WHITE,MESH/SYNTHETIC LEATHER,BASKETBALL SHOES,,,PRS,749,,,,PENDING,PENDING,MASTER_ONLY,312039902-1 | 3120399021,312039902-1 | SPORTS | BLACK/WHITE | SHOES | BOXING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312039902-2,,20Q3,2020,TODDLER,SHOES,BASKETBALL SHOES,BOXING,SPORTS,OTHER,BOXING,,BLACK/WHITE,MESH/SYNTHETIC LEATHER,BASKETBALL SHOES,,,PRS,749,,,,PENDING,PENDING,MASTER_ONLY,312039902-2 | 3120399022,312039902-2 | SPORTS | BLACK/WHITE | SHOES | BOXING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121102-4,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,BLK/LMNCE LGHT GRN,MOLDING EVA/RB,BASKETBALL SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312121102-4 | 3121211024,312121102-4 | BIG KIDS | BLK/LMNCE LGHT GRN | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121110-1,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,WHT/BLU/FLRSCNT RD,MOLDING EVA/RB,BASKETBALL SHOES,,,PRS,1049,,,,PENDING,PENDING,MASTER_ONLY,312121110-1 | 3121211101,312121110-1 | BIG KIDS | WHT/BLU/FLRSCNT RD | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121110-2,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,BLK/FLRSCNT GRN/SLVR,MOLDING EVA/RB,BASKETBALL SHOES,,,PRS,1049,,,,PENDING,PENDING,MASTER_ONLY,312121110-2 | 3121211102,312121110-2 | BIG KIDS | BLK/FLRSCNT GRN/SLVR | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121110-3,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,BLACK/LIGHT GRY/WHT,MOLDING EVA/RB,BASKETBALL SHOES,,,PRS,1049,,,,PENDING,PENDING,MASTER_ONLY,312121110-3 | 3121211103,312121110-3 | BIG KIDS | BLACK/LIGHT GRY/WHT | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121110-4,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,BLU/BLU/FLRSCNT RD,MOLDING EVA/RB,BASKETBALL SHOES,,,PRS,1049,,,,PENDING,PENDING,MASTER_ONLY,312121110-4 | 3121211104,312121110-4 | BIG KIDS | BLU/BLU/FLRSCNT RD | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121130-1,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,BLUE,MOLDING EVA/RB/TPU,BASKETBALL SHOES,,,PRS,1549,,,,PENDING,PENDING,MASTER_ONLY,312121130-1 | 3121211301,312121130-1 | BIG KIDS | BLUE | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121130-2,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,BLACK/BLUE,MOLDING EVA/RB/TPU,BASKETBALL SHOES,,,PRS,1549,,,,PENDING,PENDING,MASTER_ONLY,312121130-2 | 3121211302,312121130-2 | BIG KIDS | BLACK/BLUE | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312121130-3,,21Q2,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,BIG KIDS,OTHER,BASKETBALL,,WHITE/GLACIER BLUE,MOLDING EVA/RB/TPU,BASKETBALL SHOES,,,PRS,1549,,,,PENDING,PENDING,MASTER_ONLY,312121130-3 | 3121211303,312121130-3 | BIG KIDS | WHITE/GLACIER BLUE | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312125599-1,,21Q2,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,BIG KIDS,OTHER,RUNNING,,BLK/FLRSCNT GRN/WHT,MOLDING EVA,RUNNING SHOES,,,PRS,599,,,,PENDING,PENDING,MASTER_ONLY,312125599-1 | 3121255991,312125599-1 | BIG KIDS | BLK/FLRSCNT GRN/WHT | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312125599-3,,21Q2,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,BIG KIDS,OTHER,RUNNING,,BLUE/BLACK/WHITE,MOLDING EVA,RUNNING SHOES,,,PRS,599,,,,PENDING,PENDING,MASTER_ONLY,312125599-3 | 3121255993,312125599-3 | BIG KIDS | BLUE/BLACK/WHITE | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312126930-1,,21Q2,2021,CHILDREN,SHOES,SANDALS,OUTDOOR,BIG KIDS,OTHER,OUTDOOR,,BLACK/RED,MOLDING EVA/TPR,SANDALS,,,PRS,599,,,,PENDING,PENDING,MASTER_ONLY,312126930-1 | 3121269301,312126930-1 | BIG KIDS | BLACK/RED | SHOES | OUTDOOR,PENDING,,,,,,,,,,,,PENDING_REVIEW
312126930-2,,21Q2,2021,CHILDREN,SHOES,SANDALS,OUTDOOR,BIG KIDS,OTHER,OUTDOOR,,BLACK/FLRESCNT GRN,MOLDING EVA/TPR,SANDALS,,,PRS,599,,,,PENDING,PENDING,MASTER_ONLY,312126930-2 | 3121269302,312126930-2 | BIG KIDS | BLACK/FLRESCNT GRN | SHOES | OUTDOOR,PENDING,,,,,,,,,,,,PENDING_REVIEW
312126990-1,,21Q2,2021,CHILDREN,SHOES,SANDALS,OUTDOOR,BIG KIDS,OTHER,OUTDOOR,,BLACK/LUMINANCE ORNG,MOLDING EVA/RB/TPU,SANDALS,,,PRS,899,,,,PENDING,PENDING,MASTER_ONLY,312126990-1 | 3121269901,312126990-1 | BIG KIDS | BLACK/LUMINANCE ORNG | SHOES | OUTDOOR,PENDING,,,,,,,,,,,,PENDING_REVIEW
312126991-1,,21Q2,2021,CHILDREN,SHOES,SANDALS,OUTDOOR,BIG KIDS,OTHER,OUTDOOR,,BLACK/GREEN,MOLDING EVA/RB/TPU,OUTDOOR,,,PRS,699,,,,PENDING,PENDING,MASTER_ONLY,312126991-1 | 3121269911,312126991-1 | BIG KIDS | BLACK/GREEN | SHOES | OUTDOOR,PENDING,,,,,,,,,,,,PENDING_REVIEW
312128008-2,,21Q2,2021,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,BIG KIDS,OTHER,LIFESTYLE,,WHITE/GREEN,MOLDING EVA,X-GAME SHOES,,,PRS,498.99999999999994,,,,PENDING,PENDING,MASTER_ONLY,312128008-2 | 3121280082,312128008-2 | BIG KIDS | WHITE/GREEN | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312128858-2,,21Q2,2021,CHILDREN,SHOES,CASUAL SHOES,LIFE STYLE,BIG KIDS,OTHER,LIFESTYLE,,COAST BLU/ORNG/WHT,MOLDING EVA,CASUAL SHOES,,,PRS,498.99999999999994,,,,PENDING,PENDING,MASTER_ONLY,312128858-2 | 3121288582,312128858-2 | BIG KIDS | COAST BLU/ORNG/WHT | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312128862-1,,21Q2,2021,CHILDREN,SHOES,CASUAL SHOES,LIFE STYLE,BIG KIDS,OTHER,LIFESTYLE,,WHT/BLU/FLRSCNT RD,MOLDING EVA/RB/TPU,CASUAL SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312128862-1 | 3121288621,312128862-1 | BIG KIDS | WHT/BLU/FLRSCNT RD | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312131115-4,,21Q3,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,,OTHER,BASKETBALL,,BLACK,MESH/SYNTHETIC LEATHER,BASKETBALL SHOES,,,PRS,899,,,,PENDING,PENDING,MASTER_ONLY,312131115-4 | 3121311154,312131115-4 | BLACK | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312131120-2,,21Q3,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,,OTHER,BASKETBALL,,BLK/LMNC LGHT GRN,MESH/TPU,BASKETBALL SHOES,,,PRS,1299,,,,PENDING,PENDING,MASTER_ONLY,312131120-2 | 3121311202,312131120-2 | BLK/LMNC LGHT GRN | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312133301S-1,,21Q3,2021,CHILDREN,SHOES,PINGPONG SHOES,ELITE TRAINING,PINGPONG,OTHER,BASKETBALL,,WHITE,SYNTHETIC LEATHER/MESH,PINGPONG SHOES,,,PRS,649,,,,PENDING,PENDING,MASTER_ONLY,312133301S-1 | 312133301S1,312133301S-1 | PINGPONG | WHITE | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135501-1,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,WHT/BLK/FLRSNT GRN,MESH/TPU,RUNNING SHOES,,,PRS,1299,,,,PENDING,PENDING,MASTER_ONLY,312135501-1 | 3121355011,312135501-1 | WHT/BLK/FLRSNT GRN | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135501-3,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLACK/SILVER,MESH/TPU,RUNNING SHOES,,,PRS,1299,,,,PENDING,PENDING,MASTER_ONLY,312135501-3 | 3121355013,312135501-3 | BLACK/SILVER | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135530-2,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLUE/BLACK,MESH/SYNTHETIC LEATHER,RUNNING SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312135530-2 | 3121355302,312135530-2 | BLUE/BLACK | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135530-3,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLACK,MESH/SYNTHETIC LEATHER,RUNNING SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312135530-3 | 3121355303,312135530-3 | BLACK | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135530S-1,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,WHT/LGHT SILVER GRAY,SYNTHETIC LEATHER/MESH,RUNNING SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312135530S-1 | 312135530S1,312135530S-1 | WHT/LGHT SILVER GRAY | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135533-3,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLK/LMNC LGHT GRN,MESH,RUNNING SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312135533-3 | 3121355333,312135533-3 | BLK/LMNC LGHT GRN | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135533-4,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLK/WHT/LMNC ORANGE,MESH,RUNNING SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312135533-4 | 3121355334,312135533-4 | BLK/WHT/LMNC ORANGE | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135555-3,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLK/WHT/LUMINANCE RD,MESH/SYNTHETIC LEATHER/TPU,RUNNING SHOES,,,PRS,549,,,,PENDING,PENDING,MASTER_ONLY,312135555-3 | 3121355553,312135555-3 | BLK/WHT/LUMINANCE RD | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135585-1,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLK/SLVR/FLR AQUA GRN,MESH/TPU/SYNTHETIC LEATHER,RUNNING SHOES,,,PRS,1049,,,,PENDING,PENDING,MASTER_ONLY,312135585-1 | 3121355851,312135585-1 | BLK/SLVR/FLR AQUA GRN | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135585-2,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLUE/BLACK,MESH/TPU/SYNTHETIC LEATHER,RUNNING SHOES,,,PRS,1049,,,,PENDING,PENDING,MASTER_ONLY,312135585-2 | 3121355852,312135585-2 | BLUE/BLACK | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135585-3,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLACK/SEED GREEN,MESH/TPU/SYNTHETIC LEATHER,RUNNING SHOES,,,PRS,1049,,,,PENDING,PENDING,MASTER_ONLY,312135585-3 | 3121355853,312135585-3 | BLACK/SEED GREEN | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135588-3,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLK/LMNC LGHT GRN,MESH/TPU,RUNNING SHOES,,,PRS,1149,,,,PENDING,PENDING,MASTER_ONLY,312135588-3 | 3121355883,312135588-3 | BLK/LMNC LGHT GRN | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135588-6,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLU/BLU/FLRSNT ORNG,MESH/TPU,RUNNING SHOES,,,PRS,1149,,,,PENDING,PENDING,MASTER_ONLY,312135588-6 | 3121355886,312135588-6 | BLU/BLU/FLRSNT ORNG | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312135588-7,,21Q3,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLK/SLVR/FLRSNT GRN,MESH/TPU,RUNNING SHOES,,,PRS,1149,,,,PENDING,PENDING,MASTER_ONLY,312135588-7 | 3121355887,312135588-7 | BLK/SLVR/FLRSNT GRN | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312138003-11,,21Q3,2021,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,BLACK/WHITE,SYNTHETIC LEATHER,X-GAME SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312138003-11 | 31213800311,312138003-11 | BLACK/WHITE | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312138003-14,,21Q3,2021,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,WHITE,SYNTHETIC LEATHER,X-GAME SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312138003-14 | 31213800314,312138003-14 | WHITE | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312138009S-4,,21Q3,2021,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,WHITE,SYNTHETIC LEATHER,X-GAME SHOES,,,PRS,649,,,,PENDING,PENDING,MASTER_ONLY,312138009S-4 | 312138009S4,312138009S-4 | WHITE | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312138096-3,,21Q3,2021,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,WHITE/BLACK,SYNTHETIC LEATHER/MESH,X-GAME SHOES,,,PRS,649,,,,PENDING,PENDING,MASTER_ONLY,312138096-3 | 3121380963,312138096-3 | WHITE/BLACK | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312138096S-2,,21Q3,2021,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,WHITE,SYNTHETIC LEATHER/MESH,X-GAME SHOES,,,PRS,649,,,,PENDING,PENDING,MASTER_ONLY,312138096S-2 | 312138096S2,312138096S-2 | WHITE | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312138810-3,,21Q3,2021,CHILDREN,SHOES,CASUAL SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,BLACK,SYNTHETIC LEATHER/MESH,CASUAL SHOES,,,PRS,649,,,,PENDING,PENDING,MASTER_ONLY,312138810-3 | 3121388103,312138810-3 | BLACK | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312138891-4,,21Q3,2021,CHILDREN,SHOES,CASUAL SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,WHT/BLK/DIGITAL GRN,MESH/SYNTHETIC LEATHER,CASUAL SHOES,,,PRS,899,,,,PENDING,PENDING,MASTER_ONLY,312138891-4 | 3121388914,312138891-4 | WHT/BLK/DIGITAL GRN | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312139953-1,,21Q3,2021,TODDLER,SHOES,BASKETBALL SHOES,BOXING,,OTHER,BASKETBALL,,WHITE/BLACK/RED,SYNTHETIC LEATHER/MESH,BASKETBALL SHOES,,,PRS,699,,,,PENDING,PENDING,MASTER_ONLY,312139953-1 | 3121399531,312139953-1 | WHITE/BLACK/RED | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312139953-2,,21Q3,2021,TODDLER,SHOES,BASKETBALL SHOES,BOXING,,OTHER,BASKETBALL,,BLK/CST BLU/LMNC RD,MESH/SYNTHETIC LEATHER,BASKETBALL SHOES,,,PRS,699,,,,PENDING,PENDING,MASTER_ONLY,312139953-2 | 3121399532,312139953-2 | BLK/CST BLU/LMNC RD | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312139953-3,,21Q3,2021,TODDLER,SHOES,BASKETBALL SHOES,BOXING,,OTHER,BASKETBALL,,WHITE/BLACK/PURPLE,MESH/SYNTHETIC LEATHER,BASKETBALL SHOES,,,PRS,699,,,,PENDING,PENDING,MASTER_ONLY,312139953-3 | 3121399533,312139953-3 | WHITE/BLACK/PURPLE | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312141102-4,,21Q4,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,,OTHER,BASKETBALL,,BLACK/ORANGE,SYNTHETIC LEATHER/TPU,BASKETBALL SHOES,,,PRS,1199,,,,PENDING,PENDING,MASTER_ONLY,312141102-4 | 3121411024,312141102-4 | BLACK/ORANGE | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312141103-3,,21Q4,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,,OTHER,BASKETBALL,,BLACK/RED,SYNTHETIC LEATHER/TPU,BASKETBALL SHOES,,,PRS,949,,,,PENDING,PENDING,MASTER_ONLY,312141103-3 | 3121411033,312141103-3 | BLACK/RED | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312141103-4,,21Q4,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,,OTHER,BASKETBALL,,BLACK/GREEN,SYNTHETIC LEATHER/TPU,BASKETBALL SHOES,,,PRS,949,,,,PENDING,PENDING,MASTER_ONLY,312141103-4 | 3121411034,312141103-4 | BLACK/GREEN | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312141104-3,,21Q4,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,,OTHER,BASKETBALL,,BLACK,SYNTHETIC LEATHER/MESH/TPU,BASKETBALL SHOES,,,PRS,1349,,,,PENDING,PENDING,MASTER_ONLY,312141104-3 | 3121411043,312141104-3 | BLACK | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312141104-5,,21Q4,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,,OTHER,BASKETBALL,,BLACK/RED,SYNTHETIC LEATHER/MESH/TPU,BASKETBALL SHOES,,,PRS,1349,,,,PENDING,PENDING,MASTER_ONLY,312141104-5 | 3121411045,312141104-5 | BLACK/RED | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312141118-2,,21Q4,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,,OTHER,BASKETBALL,,BLACK/SILVER,SYNTHETIC LEATHER/MESH,BASKETBALL SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312141118-2 | 3121411182,312141118-2 | BLACK/SILVER | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312141118-3,,21Q4,2021,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,,OTHER,BASKETBALL,,BLACK/RED,SYNTHETIC LEATHER/MESH,BASKETBALL SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312141118-3 | 3121411183,312141118-3 | BLACK/RED | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312145510-2,,21Q4,2021,CHILDREN,SHOES,RUNNING SHOES,RUNNING,,OTHER,RUNNING,,BLACK/SILVER/RED,SYNTHETIC LEATHER/MESH/TPU,RUNNING SHOES,,,PRS,1049,,,,PENDING,PENDING,MASTER_ONLY,312145510-2 | 3121455102,312145510-2 | BLACK/SILVER/RED | SHOES | RUNNING,PENDING,,,,,,,,,,,,PENDING_REVIEW
312148002-2,,21Q4,2021,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,WHITE/D.BLUE,SYNTHETIC LEATHER/MESH,X-GAME SHOES,,,PRS,949,,,,PENDING,PENDING,MASTER_ONLY,312148002-2 | 3121480022,312148002-2 | WHITE/D.BLUE | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312148002-4,,21Q4,2021,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,BLACK/RED,SYNTHETIC LEATHER/MESH,X-GAME SHOES,,,PRS,949,,,,PENDING,PENDING,MASTER_ONLY,312148002-4 | 3121480024,312148002-4 | BLACK/RED | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312148078-2,,21Q4,2021,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,BLACK/WHITE,SYNTHETIC LEATHER,X-GAME SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312148078-2 | 3121480782,312148078-2 | BLACK/WHITE | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312148078-3,,21Q4,2021,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,BLACK/MUDDY BLUE,SYNTHETIC LEATHER,X-GAME SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312148078-3 | 3121480783,312148078-3 | BLACK/MUDDY BLUE | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312148078-5,,21Q4,2021,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,WHITE/RED/BLACK,SYNTHETIC LEATHER,X-GAME SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312148078-5 | 3121480785,312148078-5 | WHITE/RED/BLACK | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312148078S-1,,21Q4,2021,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,WHITE,SYNTHETIC LEATHER,X-GAME SHOES,,,PRS,799,,,,PENDING,PENDING,MASTER_ONLY,312148078S-1 | 312148078S1,312148078S-1 | WHITE | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312148863-8,,21Q4,2021,CHILDREN,SHOES,CASUAL SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,BLACK/ORANGE,MESH/SYNTHETIC LEATHER/TPU,CASUAL SHOES,,,PRS,949,,,,PENDING,PENDING,MASTER_ONLY,312148863-8 | 3121488638,312148863-8 | BLACK/ORANGE | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312148888-2,,21Q4,2021,CHILDREN,SHOES,CASUAL SHOES,LIFE STYLE,,OTHER,LIFESTYLE,,BLACK,MESH/SYNTHETIC LEATHER/TPU,CASUAL SHOES,,,PRS,949,,,,PENDING,PENDING,MASTER_ONLY,312148888-2 | 3121488882,312148888-2 | BLACK | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312241112-1,,22Q4,2022,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,,,BASKETBALL,,WHITE/BLACK/GREEN,SYNTHETIC LEATHER/MESH,BASKETBALL SHOES,,,PRS,1399,,,,PENDING,PENDING,MASTER_ONLY,312241112-1 | 3122411121,312241112-1 | WHITE/BLACK/GREEN | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312241112-5,,22Q4,2022,CHILDREN,SHOES,BASKETBALL SHOES,BASKETBALL,,,BASKETBALL,,BLACK/BLUE/PURPLE,SYNTHETIC LEATHER/MESH,BASKETBALL SHOES,,,PRS,1399,,,,PENDING,PENDING,MASTER_ONLY,312241112-5 | 3122411125,312241112-5 | BLACK/BLUE/PURPLE | SHOES | BASKETBALL,PENDING,,,,,,,,,,,,PENDING_REVIEW
312248003-3,,22Q4,2022,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,,LIFESTYLE,,BLACK/WHITE,SYNTHETIC LEATHER/MESH,X-GAME SHOES,,,PRS,1149,,,,PENDING,PENDING,MASTER_ONLY,312248003-3 | 3122480033,312248003-3 | BLACK/WHITE | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
312248003-4,,22Q4,2022,CHILDREN,SHOES,X-GAME SHOES,LIFE STYLE,,,LIFESTYLE,,BLACK/WHITE/GREEN,SYNTHETIC LEATHER/MESH,X-GAME SHOES,HABU,,PRS,1149,,,,PENDING,PENDING,MASTER_ONLY,312248003-4 | 3122480034,312248003-4 | BLACK/WHITE/GREEN | SHOES | LIFESTYLE,PENDING,,,,,,,,,,,,PENDING_REVIEW
