sku,alternate_sku,product_name,colour,category,product_type,material,rrp,review_status
312039901-1,,,BLACK/RED,SHOES,BOXING,MESH/SYNTHETIC LEATHER,899,PENDING_REVIEW
312039902-1,,SPORTS,BLACK/WHITE,SHOES,BOXING,MESH/SYNTHETIC LEATHER,749,PENDING_REVIEW
312039902-2,,SPORTS,BLACK/WHITE,SHOES,BOXING,MESH/SYNTHETIC LEATHER,749,PENDING_REVIEW
312121102-4,,BIG KIDS,BLK/LMNCE LGHT GRN,SHOES,BASKETBALL,MOLDING EVA/RB,799,PENDING_REVIEW
312121110-1,,BIG KIDS,WHT/BLU/FLRSCNT RD,SHOES,BASKETBALL,MOLDING EVA/RB,1049,PENDING_REVIEW
312121110-2,,BIG KIDS,BLK/FLRSCNT GRN/SLVR,SHOES,BASKETBALL,MOLDING EVA/RB,1049,PENDING_REVIEW
312121110-3,,BIG KIDS,BLACK/LIGHT GRY/WHT,SHOES,BASKETBALL,MOLDING EVA/RB,1049,PENDING_REVIEW
312121110-4,,BIG KIDS,BLU/BLU/FLRSCNT RD,SHOES,BASKETBALL,MOLDING EVA/RB,1049,PENDING_REVIEW
312121130-1,,BIG KIDS,BLUE,SHOES,BASKETBALL,MOLDING EVA/RB/TPU,1549,PENDING_REVIEW
312121130-2,,BIG KIDS,BLACK/BLUE,SHOES,BASKETBALL,MOLDING EVA/RB/TPU,1549,PENDING_REVIEW
312121130-3,,BIG KIDS,WHITE/GLACIER BLUE,SHOES,BASKETBALL,MOLDING EVA/RB/TPU,1549,PENDING_REVIEW
312125599-1,,BIG KIDS,BLK/FLRSCNT GRN/WHT,SHOES,RUNNING,MOLDING EVA,599,PENDING_REVIEW
312125599-3,,BIG KIDS,BLUE/BLACK/WHITE,SHOES,RUNNING,MOLDING EVA,599,PENDING_REVIEW
312126930-1,,BIG KIDS,BLACK/RED,SHOES,OUTDOOR,MOLDING EVA/TPR,599,PENDING_REVIEW
312126930-2,,BIG KIDS,BLACK/FLRESCNT GRN,SHOES,OUTDOOR,MOLDING EVA/TPR,599,PENDING_REVIEW
312126990-1,,BIG KIDS,BLACK/LUMINANCE ORNG,SHOES,OUTDOOR,MOLDING EVA/RB/TPU,899,PENDING_REVIEW
312126991-1,,BIG KIDS,BLACK/GREEN,SHOES,OUTDOOR,MOLDING EVA/RB/TPU,699,PENDING_REVIEW
312128008-2,,BIG KIDS,WHITE/GREEN,SHOES,LIFESTYLE,MOLDING EVA,498.99999999999994,PENDING_REVIEW
312128858-2,,BIG KIDS,COAST BLU/ORNG/WHT,SHOES,LIFESTYLE,MOLDING EVA,498.99999999999994,PENDING_REVIEW
312128862-1,,BIG KIDS,WHT/BLU/FLRSCNT RD,SHOES,LIFESTYLE,MOLDING EVA/RB/TPU,799,PENDING_REVIEW
312131115-4,,,BLACK,SHOES,BASKETBALL,MESH/SYNTHETIC LEATHER,899,PENDING_REVIEW
312131120-2,,,BLK/LMNC LGHT GRN,SHOES,BASKETBALL,MESH/TPU,1299,PENDING_REVIEW
312133301S-1,,PINGPONG,WHITE,SHOES,BASKETBALL,SYNTHETIC LEATHER/MESH,649,PENDING_REVIEW
312135501-1,,,WHT/BLK/FLRSNT GRN,SHOES,RUNNING,MESH/TPU,1299,PENDING_REVIEW
312135501-3,,,BLACK/SILVER,SHOES,RUNNING,MESH/TPU,1299,PENDING_REVIEW
312135530-2,,,BLUE/BLACK,SHOES,RUNNING,MESH/SYNTHETIC LEATHER,799,PENDING_REVIEW
312135530-3,,,BLACK,SHOES,RUNNING,MESH/SYNTHETIC LEATHER,799,PENDING_REVIEW
312135530S-1,,,WHT/LGHT SILVER GRAY,SHOES,RUNNING,SYNTHETIC LEATHER/MESH,799,PENDING_REVIEW
312135533-3,,,BLK/LMNC LGHT GRN,SHOES,RUNNING,MESH,799,PENDING_REVIEW
312135533-4,,,BLK/WHT/LMNC ORANGE,SHOES,RUNNING,MESH,799,PENDING_REVIEW
312135555-3,,,BLK/WHT/LUMINANCE RD,SHOES,RUNNING,MESH/SYNTHETIC LEATHER/TPU,549,PENDING_REVIEW
312135585-1,,,BLK/SLVR/FLR AQUA GRN,SHOES,RUNNING,MESH/TPU/SYNTHETIC LEATHER,1049,PENDING_REVIEW
312135585-2,,,BLUE/BLACK,SHOES,RUNNING,MESH/TPU/SYNTHETIC LEATHER,1049,PENDING_REVIEW
312135585-3,,,BLACK/SEED GREEN,SHOES,RUNNING,MESH/TPU/SYNTHETIC LEATHER,1049,PENDING_REVIEW
312135588-3,,,BLK/LMNC LGHT GRN,SHOES,RUNNING,MESH/TPU,1149,PENDING_REVIEW
312135588-6,,,BLU/BLU/FLRSNT ORNG,SHOES,RUNNING,MESH/TPU,1149,PENDING_REVIEW
312135588-7,,,BLK/SLVR/FLRSNT GRN,SHOES,RUNNING,MESH/TPU,1149,PENDING_REVIEW
312138003-11,,,BLACK/WHITE,SHOES,LIFESTYLE,SYNTHETIC LEATHER,799,PENDING_REVIEW
312138003-14,,,WHITE,SHOES,LIFESTYLE,SYNTHETIC LEATHER,799,PENDING_REVIEW
312138009S-4,,,WHITE,SHOES,LIFESTYLE,SYNTHETIC LEATHER,649,PENDING_REVIEW
312138096-3,,,WHITE/BLACK,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,649,PENDING_REVIEW
312138096S-2,,,WHITE,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,649,PENDING_REVIEW
312138810-3,,,BLACK,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,649,PENDING_REVIEW
312138891-4,,,WHT/BLK/DIGITAL GRN,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,899,PENDING_REVIEW
312139953-1,,,WHITE/BLACK/RED,SHOES,BASKETBALL,SYNTHETIC LEATHER/MESH,699,PENDING_REVIEW
312139953-2,,,BLK/CST BLU/LMNC RD,SHOES,BASKETBALL,MESH/SYNTHETIC LEATHER,699,PENDING_REVIEW
312139953-3,,,WHITE/BLACK/PURPLE,SHOES,BASKETBALL,MESH/SYNTHETIC LEATHER,699,PENDING_REVIEW
312141102-4,,,BLACK/ORANGE,SHOES,BASKETBALL,SYNTHETIC LEATHER/TPU,1199,PENDING_REVIEW
312141103-3,,,BLACK/RED,SHOES,BASKETBALL,SYNTHETIC LEATHER/TPU,949,PENDING_REVIEW
312141103-4,,,BLACK/GREEN,SHOES,BASKETBALL,SYNTHETIC LEATHER/TPU,949,PENDING_REVIEW
312141104-3,,,BLACK,SHOES,BASKETBALL,SYNTHETIC LEATHER/MESH/TPU,1349,PENDING_REVIEW
312141104-5,,,BLACK/RED,SHOES,BASKETBALL,SYNTHETIC LEATHER/MESH/TPU,1349,PENDING_REVIEW
312141118-2,,,BLACK/SILVER,SHOES,BASKETBALL,SYNTHETIC LEATHER/MESH,799,PENDING_REVIEW
312141118-3,,,BLACK/RED,SHOES,BASKETBALL,SYNTHETIC LEATHER/MESH,799,PENDING_REVIEW
312145510-2,,,BLACK/SILVER/RED,SHOES,RUNNING,SYNTHETIC LEATHER/MESH/TPU,1049,PENDING_REVIEW
312148002-2,,,WHITE/D.BLUE,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,949,PENDING_REVIEW
312148002-4,,,BLACK/RED,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,949,PENDING_REVIEW
312148078-2,,,BLACK/WHITE,SHOES,LIFESTYLE,SYNTHETIC LEATHER,799,PENDING_REVIEW
312148078-3,,,BLACK/MUDDY BLUE,SHOES,LIFESTYLE,SYNTHETIC LEATHER,799,PENDING_REVIEW
312148078-5,,,WHITE/RED/BLACK,SHOES,LIFESTYLE,SYNTHETIC LEATHER,799,PENDING_REVIEW
312148078S-1,,,WHITE,SHOES,LIFESTYLE,SYNTHETIC LEATHER,799,PENDING_REVIEW
312148863-8,,,BLACK/ORANGE,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER/TPU,949,PENDING_REVIEW
312148888-2,,,BLACK,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER/TPU,949,PENDING_REVIEW
312241112-1,,,WHITE/BLACK/GREEN,SHOES,BASKETBALL,SYNTHETIC LEATHER/MESH,1399,PENDING_REVIEW
312241112-5,,,BLACK/BLUE/PURPLE,SHOES,BASKETBALL,SYNTHETIC LEATHER/MESH,1399,PENDING_REVIEW
312248003-3,,,BLACK/WHITE,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,1149,PENDING_REVIEW
312248003-4,,,BLACK/WHITE/GREEN,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,1149,PENDING_REVIEW
312249913-1,,,WHITE/BLACK/RED,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,849,PENDING_REVIEW
312249913-2,,,BEIGE/BLUE/BLACK,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,849,PENDING_REVIEW
312311115-1,,BASKETBALL SHOES,BLACK/WHITE/BLUE,SHOES,BASKETBALL,MESH/TPU/SYNTHETIC LEATHER,1299,PENDING_REVIEW
312311115-2,,BASKETBALL SHOES,BLACK/RED/STEEL GREY,SHOES,BASKETBALL,MESH/TPU/SYNTHETIC LEATHER,1299,PENDING_REVIEW
312311115-4,,BASKETBALL SHOES,BLACK/GREEN,SHOES,BASKETBALL,MESH/TPU/SYNTHETIC LEATHER,1299,PENDING_REVIEW
312319951-1,,BASKETBALL SHOES,BLACK/GREEN,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,998.9999999999999,PENDING_REVIEW
312319951-2,,BASKETBALL SHOES,WHITE/BLACK/RED,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,998.9999999999999,PENDING_REVIEW
31831103-1,,,RED/BLACK/WHITE,SHOES,BASKETBALL,MESH/SYNTHETIC LEATHER,1049,PENDING_REVIEW
31831103-2,,,BLACK/GOLD/WHITE,SHOES,BASKETBALL,MESH/SYNTHETIC LEATHER,1049,PENDING_REVIEW
322125511-4,,BIG KIDS,WHITE/LIGHT PINK,SHOES,RUNNING,MOLDING EVA/RB/TPU,899,PENDING_REVIEW
322125533-5,,BIG KIDS,PRPL GRY/PNK/WHT,SHOES,RUNNING,MOLDING EVA,599,PENDING_REVIEW
322125534-7,,BIG KIDS,BLK/FLRSCNT PNK/WHT,SHOES,RUNNING,MOLDING EVA,498.99999999999994,PENDING_REVIEW
322125588-4,,BIG KIDS,BLACK/LIGHT PURPLE,SHOES,RUNNING,MOLDING EVA,699,PENDING_REVIEW
322126921-3,,BIG KIDS,WHITE/PINK,SHOES,OUTDOOR,MOLDING EVA,498.99999999999994,PENDING_REVIEW
322126967-2,,BIG KIDS,WHITE/PURPLE,SHOES,OUTDOOR,MOLDING EVA/RB,799,PENDING_REVIEW
322126967-3,,BIG KIDS,BLACK/FOG PURPLE,SHOES,OUTDOOR,MOLDING EVA/RB,799,PENDING_REVIEW
322126990-4,,BIG KIDS,WHT/PNK/LGHT PRPL,SHOES,OUTDOOR,MOLDING EVA/RB/TPU,899,PENDING_REVIEW
322126991-1,,BIG KIDS,WHITE/YELLOW,SHOES,OUTDOOR,MOLDING EVA/RB/TPU,699,PENDING_REVIEW
322128010-6,,BIG KIDS,IVORY WHITE,SHOES,LIFESTYLE,MOLDING EVA,498.99999999999994,PENDING_REVIEW
322128877-2,,BIG KIDS,IVORY WHITE/PINK,SHOES,LIFESTYLE,MOLDING EVA/RB/TPU,899,PENDING_REVIEW
322135562-5,,,WHITE/PINK/BLUE,SHOES,RUNNING,MESH/SYNTHETIC LEATHER/TPU,799,PENDING_REVIEW
322135565-2,,,BLACK/PINK,SHOES,RUNNING,MESH/SYNTHETIC LEATHER,649,PENDING_REVIEW
322135598-7,,,WHITE,SHOES,RUNNING,MESH/TPU,1049,PENDING_REVIEW
322135598-8,,,BLACK/PINK,SHOES,RUNNING,MESH/TPU,1049,PENDING_REVIEW
322138003-7,,,WHITE/HAZE VIOLET,SHOES,LIFESTYLE,SYNTHETIC LEATHER,799,PENDING_REVIEW
322138009-2,,,IVORY WHITE,SHOES,LIFESTYLE,SYNTHETIC LEATHER,649,PENDING_REVIEW
322138813-1,,,WHITE/BLACK,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,799,PENDING_REVIEW
322138813-2,,,IVORY WHT/CLR WTR RD,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,799,PENDING_REVIEW
322138813-3,,,WHITE/BLACK,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,799,PENDING_REVIEW
322138885-3,,,WHITE/GREY PURPLE,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,649,PENDING_REVIEW
322138885-5,,,BLACK/WHITE,SHOES,LIFESTYLE,SYNTHETIC LEATHER,649,PENDING_REVIEW
322138885S-4,,,WHITE,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,649,PENDING_REVIEW
322138889-2,,,IVORY WHITE,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER/TPU,899,PENDING_REVIEW
322138889-3,,,BLACK/IVORY WHITE,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER/TPU,899,PENDING_REVIEW
322138890-5,,,WHITE/GLACIER BLUE,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER/TPU,899,PENDING_REVIEW
322138890-7,,,BLACK,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER/TPU,899,PENDING_REVIEW
322148002-9,,,WHITE/BLUE,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,949,PENDING_REVIEW
322148078-2,,,BEIGE/BLACK,SHOES,LIFESTYLE,SYNTHETIC LEATHER,799,PENDING_REVIEW
322148089-2,,,BEIGE/GRAY,SHOES,LIFESTYLE,SYNTHETIC LEATHER/MESH,949,PENDING_REVIEW
322248001-1,,,WHITE/L.PURPLE/PINK,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,1149,PENDING_REVIEW
322248001-3,,,BEIGE/YELLOW,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,1149,PENDING_REVIEW
322248002-1,,,WHITE/GREEN/PINK,SHOES,LIFESTYLE,SYNTHE PU/MESH/COW SUEDE,1249,PENDING_REVIEW
332039903-1,,SPORTS,BLACK,SHOES,BOXING,MESH/SYNTHETIC LEATHER,899,PENDING_REVIEW
332039903-2,,SPORTS,BLACK,SHOES,BOXING,MESH/SYNTHETIC LEATHER,899,PENDING_REVIEW
332039903-5,,SPORTS,PEARL PINK/INDY PINK,SHOES,BOXING,MESH/SYNTHETIC LEATHER,899,PENDING_REVIEW
332039911-1,,FASHION,BLACK,SHOES,BOXING,MESH/SYNTHETIC LEATHER,899,PENDING_REVIEW
332039911-2,,FASHION,BLACK,SHOES,BOXING,MESH/SYNTHETIC LEATHER,899,PENDING_REVIEW
332039911-4,,FASHION,LIGHT PINK,SHOES,BOXING,MESH/SYNTHETIC LEATHER,899,PENDING_REVIEW
332139908-1,,,BLACK/BRIGHTNESS RED,SHOES,RUNNING,MESH/SYNTHETIC LEATHER,799,PENDING_REVIEW
332139908-3,,,MUDDY BLU/BLU/BLK,SHOES,RUNNING,MESH/SYNTHETIC LEATHER,799,PENDING_REVIEW
332139908-8,,,BLK/PEARL PINK/SLVR,SHOES,RUNNING,MESH/SYNTHETIC LEATHER,799,PENDING_REVIEW
332139921-1,,,BLACK/WHITE/YELLOW,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,699,PENDING_REVIEW
332139921-2,,,BLACK/BLUE,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,699,PENDING_REVIEW
332139921-3,,,BLU/WHT/LGHT INK BLU,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,699,PENDING_REVIEW
332139921-4,,,WHT/BLU INK/FLAG YLW,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,699,PENDING_REVIEW
332139921-5,,,WHT/ELECTRO RD/BLU,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,699,PENDING_REVIEW
332139921-8,,,BLK/LGHT WHT /CYNNE,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,699,PENDING_REVIEW
332139930-2,,,IVORY WHT/BLK/ORANGE,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,799,PENDING_REVIEW
332139930-3,,,BLK/ORANGE/MID-BLU,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,799,PENDING_REVIEW
332139930-6,,,IVRYWHT/PRPL/CHRY RD,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,799,PENDING_REVIEW
332139930-7,,,BKDRP BLU/BLU/WHT,SHOES,LIFESTYLE,MESH/SYNTHETIC LEATHER,799,PENDING_REVIEW
332139932-2,,,WHITE/CHERRY RED,SHOES,BOXING,SYNTHETIC LEATHER,599,PENDING_REVIEW
332139932-3,,,WHITE/COLLEGE RED,SHOES,BOXING,SYNTHETIC LEATHER,599,PENDING_REVIEW
332139971-2,,,BLACK/BLUE/WHITE,SHOES,BOXING,SYNTHETIC LEATHER/MESH,599,PENDING_REVIEW
332139971-3,,,WHITE/PINK/BLACK,SHOES,BOXING,SYNTHETIC LEATHER/MESH,599,PENDING_REVIEW
332139988-2,,,BLK/FLRSNT GRN/WHT,SHOES,RUNNING,MESH/SYNTHETIC LEATHER,399,PENDING_REVIEW
332155501R-2,,BIG KIDS,BLK/LMINNCE LGHT GRN,SHOES,RUNNING,MOLDING EVA,498.99999999999994,PENDING_REVIEW
332155502R-1,,BIG KIDS,WHT/LGHT SLVR GRY,SHOES,RUNNING,MOLDING EVA,399,PENDING_REVIEW
332155502R-2,,BIG KIDS,BLACK,SHOES,RUNNING,MOLDING EVA,399,PENDING_REVIEW
332155502R-3,,BIG KIDS,BLK/LMINNCE LGHT GRN,SHOES,RUNNING,MOLDING EVA,399,PENDING_REVIEW
352031725-2,,KT,BEECH RED,CLOTHING,HOODIES,94%COTTON6%POLYESTER,899,PENDING_REVIEW
352131101-1,,BASKETBALL,PURE WHITE,CLOTHING,T-SHIRT,66%COTTON 34%POLYESTER,399,PENDING_REVIEW
352131101-3,,BASKETBALL,LUMINESCENT GREEN,CLOTHING,T-SHIRT,66%COTTON 34%POLYESTER,399,PENDING_REVIEW
352131202-2,,BASKETBALL,DREAM BLACK,CLOTHING,GAME SUIT,100% POLYESTER,299,PENDING_REVIEW
352131502-1,,BASKETBALL,DREAM BLACK,CLOTHING,PANT,88%POLYESTER 12%SPANDEX,449,PENDING_REVIEW
352135511-1,,RUNNING,BLACK/BLUE,CLOTHING,PANT,87%NYLON13%SPANDEX,599,PENDING_REVIEW
352135641-1,,RUNNING,DREAM BLACK,CLOTHING,TRACK TOP,100%POLYESTER,899,PENDING_REVIEW
352135641-2,,RUNNING,PURE WHITE,CLOTHING,TRACK TOP,100%POLYESTER,899,PENDING_REVIEW
352135642-2,,RUNNING,LUMINESCENT GREEN,CLOTHING,TRACK TOP,100% POLYESTER,949,PENDING_REVIEW
352135650-1,,RUNNING,PURE WHITE,CLOTHING,TRACK TOP,100% NYLON,1049,PENDING_REVIEW
352135650-2,,RUNNING,BLUE,CLOTHING,TRACK TOP,100% NYLON,1049,PENDING_REVIEW
352135703-3,,RUNNING,DREAM BLACK,CLOTHING,SWEAT SHIRT,67%COTTON26%POLYESTER7%SPANDEX,449,PENDING_REVIEW
352135707-2,,,LUMINESCENT GREEN,CLOTHING,TRACK TOP,100%POLYESTER,899,PENDING_REVIEW
352136166-1,,OUTDOOR,CLEAR WATER BLUE,CLOTHING,T-SHIRT,100% POLYESTER,399,PENDING_REVIEW
352136167-3,,OUTDOOR,PURE WHITE,CLOTHING,T-SHIRT,100%POLYESTER,249,PENDING_REVIEW
352136177-1,,OUTDOOR,CLEAR WATER BLUE,CLOTHING,T-SHIRT,73%COTTON 27%POLYESTER,299,PENDING_REVIEW
352136177-3,,OUTDOOR,MAIZE,CLOTHING,T-SHIRT,73%COTTON 27%POLYESTER,299,PENDING_REVIEW
352136310-3,,OUTDOOR,GREY,CLOTHING,PANT,93%POLYESTER 7%SPANDEX,449,PENDING_REVIEW
352136310B-1,,OUTDOOR,CLEAR WATER BLUE,CLOTHING,PANT,100% POLYESTER,449,PENDING_REVIEW
352136510-3,,OUTDOOR,DREAM BLACK,CLOTHING,PANT,88%POLYESTER 12%SPANDEX,549,PENDING_REVIEW
352136641-1,,OUTDOOR,CLEAR WATER BLUE,CLOTHING,TRACK TOP,100%POLYESTER,699,PENDING_REVIEW
352138432-1,,JUNIOR PLAYER,PURE WHITE,CLOTHING,T-SHIRT,67%COTTON26%POLYESTER7%SPANDEX,549,PENDING_REVIEW
352138432B-2,,JUNIOR PLAYER,DREAM BLACK,CLOTHING,T-SHIRT,100% COTTON,599,PENDING_REVIEW
352138432B-3,,JUNIOR PLAYER,PURPLE,CLOTHING,T-SHIRT,100% COTTON,599,PENDING_REVIEW
352138520-1,,JUNIOR PLAYER,DREAM BLACK,CLOTHING,PANT,98%COTTON 2%SPANDEX,699,PENDING_REVIEW
352138650-1,,JUNIOR PLAYER,AMBER ORANGE,CLOTHING,TRACK TOP,100%POLYESTER,899,PENDING_REVIEW
352138656-2,,JUNIOR PLAYER,PURE WHITE,CLOTHING,TRACK TOP,100% POLYESTER,949,PENDING_REVIEW
352138723-1,,JUNIOR PLAYER,PURE WHITE,CLOTHING,HOODIES,84%COTTON9%POLYESTER7%SPANDEX,749,PENDING_REVIEW
352138723-2,,JUNIOR PLAYER,DREAM BLACK,CLOTHING,HOODIES,84%COTTON9%POLYESTER7%SPANDEX,749,PENDING_REVIEW
352138763-1,,JUNIOR PLAYER,DREAM BLACK,CLOTHING,PANT,90%COTTON10%POLYESTER,599,PENDING_REVIEW
352138764-1,,JUNIOR PLAYER,DREAM BLACK,CLOTHING,PANT,84%COTTON9%POLYESTER7%SPANDEX,599,PENDING_REVIEW
352138794S-1,,JUNIOR PLAYER,DREAM BLACK,CLOTHING,PANT,65%COTTON 35%POLYESTER,399,PENDING_REVIEW
352139502-1,,LITTLE KIDS,DREAM BLACK,CLOTHING,PANT,100% POLYESTER,599,PENDING_REVIEW
352139615-3,,LITTLE KIDS,DREAM BLACK,CLOTHING,TRACK TOP,FACE:100%POLYESTER BACK:100%POLYESTER,949,PENDING_REVIEW
352139735-1,,LITTLE KIDS,PURE WHITE,CLOTHING,SWEAT SHIRT,94%COTTON6%SPANDEX,449,PENDING_REVIEW
352139750-1,,LITTLE KIDS,DODGER BLUE,CLOTHING,SWEAT SHIRT,77%COTTON12%VISCOSE11%POLYESTER,449,PENDING_REVIEW
352139750-2,,LITTLE KIDS,PURE WHITE,CLOTHING,SWEAT SHIRT,77%COTTON12%VISCOSE11%POLYESTER,449,PENDING_REVIEW
352139754-1,,LITTLE KIDS,DODGER BLUE,CLOTHING,TRACK TOP,94%COTTON6%SPANDEX,699,PENDING_REVIEW
352141601-2,,KT,DREAM BLACK,CLOTHING,JACKET,100% POLYESTER,1049,PENDING_REVIEW
352141602-1,,KT,CASTLE,CLOTHING,JACKET,100% POLYESTER,1149,PENDING_REVIEW
352149713-1,,LITTLE KIDS,BRIGHT YELLOW,CLOTHING,SWEAT SHIRT,84%COTTON9%POLYESTER7%SPANDEX,449,PENDING_REVIEW
352149713-2,,LITTLE KIDS,PURE WHITE,CLOTHING,SWEAT SHIRT,84%COTTON9%POLYESTER7%SPANDEX,449,PENDING_REVIEW
352149713-3,,LITTLE KIDS,LAKE BLUE,CLOTHING,SWEAT SHIRT,84%COTTON9%POLYESTER7%SPANDEX,449,PENDING_REVIEW
352149746-1,,LITTLE KIDS,DREAM BLACK,CLOTHING,PANT,84%COTTON9%POLYESTER7%SPANDEX,449,PENDING_REVIEW
352249504-1,,PLAY,BLACK,CLOTHING,PANT,POLYESTER92%SPANDEX8%,699,PENDING_REVIEW
352311501-2,,BIG KIDS,GREY,CLOTHING,PANT,100%POLYESTER,799,PENDING_REVIEW
352311640-2,,BIG KIDS,GREY,CLOTHING,TRACK TOP,100%POLYESTER,1299,PENDING_REVIEW
352311701-1,,BIG KIDS,GREY,CLOTHING,HOODIES,48%POLYESTER36%COTTON12%VISCOSE4%SPANDEX,899,PENDING_REVIEW
352311701-2,,BIG KIDS,GREY,CLOTHING,HOODIES,48%POLYESTER36%COTTON12%VISCOSE4%SPANDEX,899,PENDING_REVIEW
352311701-3,,BIG KIDS,GREY,CLOTHING,HOODIES,48%POLYESTER36%COTTON12%VISCOSE4%SPANDEX,899,PENDING_REVIEW
352311703-3,,BIG KIDS,GREY,CLOTHING,SWEAT SHIRT,64%COTTON36%POLYESTER,799,PENDING_REVIEW
352311740-1,,BIG KIDS,GREY,CLOTHING,PANT,48%POLYESTER36%COTTON12%VISCOSE4%SPANDEX,799,PENDING_REVIEW
352311740-2,,BIG KIDS,GREY,CLOTHING,PANT,48%POLYESTER36%COTTON12%VISCOSE4%SPANDEX,799,PENDING_REVIEW
352351101-2,,BIG KIDS,GREY,CLOTHING,GAME SUIT,100%POLYESTER,799,PENDING_REVIEW
35711706-2,,,BC04HEATHER GREY,CLOTHING,TRACK TOP,100%COTTON,749,PENDING_REVIEW
35718704-1,,,FIELD BLUE,CLOTHING,TRACK TOP,91%COTTON9%POLYESTER,799,PENDING_REVIEW
35722142-2,,,BC04HEATHER GREY,CLOTHING,T-SHIRT,80%COTTON 20%POLYESTER,249,PENDING_REVIEW
35722142-3,,,RED,CLOTHING,T-SHIRT,80%COTTON 20%POLYESTER,249,PENDING_REVIEW
35725782-3,,,BLACK,CLOTHING,PANT,71.4%COTTON28.6%POLYESTER,299,PENDING_REVIEW
35732430-3,,,GULF BLUE,CLOTHING,T-SHIRT,100% POLYESTER,399,PENDING_REVIEW
362138143-1,,SPORTS LIFESTYLE,PURE WHITE,CLOTHING,T-SHIRT,74%COTTON 26%POLYESTER,399,PENDING_REVIEW
362138381-1,,SPORTS LIFESTYLE,PURE WHITE,CLOTHING,SKIRT,65%COTTON 35%POLYESTER,449,PENDING_REVIEW
362138383-1,,SPORTS LIFESTYLE,PURE WHITE,CLOTHING,DRESS,65%COTTON 35%POLYESTER,699,PENDING_REVIEW
362138383-3,,SPORTS LIFESTYLE,CYANINE,CLOTHING,DRESS,65%COTTON 35%POLYESTER,699,PENDING_REVIEW
362138640-1,,SPORTS LIFESTYLE,PURE WHITE,CLOTHING,TRACK TOP,100%POLYESTER,699,PENDING_REVIEW
362138701-2,,SPORTS LIFESTYLE,PINK,CLOTHING,HOODIES,84%COTTON10%POLYESTER6%SPANDEX,749,PENDING_REVIEW
362139642-1,,SWEET GIRL,WHITE,CLOTHING,TRACK TOP,100%POLYESTER,599,PENDING_REVIEW
812025591-1,112025591-1,VINTAGE,IVORY/BLACK/FLU PRPL,SHOES,RUNNING,SYNTHE PU/MESH,1099,PENDING_REVIEW
812025591-2,112025591-2,VINTAGE,ORDNANC BLU/BLK/WHT,SHOES,RUNNING,SYNTHE PU/MESH,1099,PENDING_REVIEW
812026606-5,112026606-5,FASHION OUTDOOR,GRY/INK BLU/LGHT BRN,SHOES,OUTDOOR,MESH/SYNTHE PU,1249,PENDING_REVIEW
812028085-2,112028085-2,BOSSY - POWER,BLACK/IVORY/BLUE,SHOES,LIFESTYLE,MESH/SYNTHE PU,1099,PENDING_REVIEW
812028086-3,112028086-3,BOSSY,BLACK/PURPLE/WHITE,SHOES,LIFESTYLE,MESH/SYNTHE PU/SPLIT LEATHER,1249,PENDING_REVIEW
812028883-2,112028883-2,ANTA WALKER,WHT GRY/INK BLU/WHT,SHOES,LIFESTYLE,MESH/SYNTHE PU,1099,PENDING_REVIEW
812028883-4,112028883-4,ANTA WALKER,LIME GREEN/ GRY/IVRY,SHOES,LIFESTYLE,MESH/SYNTHE PU,1099,PENDING_REVIEW
